study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB19025	SAMEA50749168	ERX1861507	ERR1797969	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1797969/ERR1797969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1797969/ERR1797969_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797969/2156N0001_ATCACG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797969/2156N0001_ATCACG_L002_R2_001.fastq.gz	
PRJEB19025	SAMEA50749918	ERX1861508	ERR1797970	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1797970/ERR1797970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1797970/ERR1797970_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797970/2156N0002_TGACCA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797970/2156N0002_TGACCA_L002_R2_001.fastq.gz	
PRJEB19025	SAMEA50750668	ERX1861509	ERR1797971	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1797971/ERR1797971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1797971/ERR1797971_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797971/2156N0003_ACAGTG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797971/2156N0003_ACAGTG_L002_R2_001.fastq.gz	
PRJEB19025	SAMEA50751418	ERX1861510	ERR1797972	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1797972/ERR1797972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1797972/ERR1797972_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797972/2156N0004_ACTTGA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797972/2156N0004_ACTTGA_L002_R2_001.fastq.gz	
PRJEB19025	SAMEA50752168	ERX1861511	ERR1797973	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1797973/ERR1797973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1797973/ERR1797973_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797973/2156N0005_TAGCTT_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797973/2156N0005_TAGCTT_L002_R2_001.fastq.gz	
PRJEB19025	SAMEA50752918	ERX1861512	ERR1797974	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1797974/ERR1797974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1797974/ERR1797974_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797974/2156N0006_GGCTAC_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797974/2156N0006_GGCTAC_L002_R2_001.fastq.gz	
PRJEB19025	SAMEA52152418	ERX1864328	ERR1800787	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1800787/ERR1800787.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800787/Tn-Seq_BHI-1.fastq.gz	
PRJEB19025	SAMEA52153168	ERX1864329	ERR1800788	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1800788/ERR1800788.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800788/Tn-Seq_BHI-2.fastq.gz	
PRJEB19025	SAMEA52153918	ERX1864330	ERR1800789	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1800789/ERR1800789.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800789/Tn-Seq_BHI-3.fastq.gz	
PRJEB19025	SAMEA52154668	ERX1864331	ERR1800790	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1800790/ERR1800790.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800790/Tn-Seq_BHI-4.fastq.gz	
