Assembly	illumina.contigs	illumina_Nanopore.contigs	illumina_Nanopore.scaffolds	illumina_Nanopore.scaffolds_broken	illumina.scaffolds	illumina.scaffolds_broken	PacBio.contigs	Pilon_illumina_Nanopore_PacBio	Pilon_illumina_PacBio
# contigs (>= 0 bp)	488	175	151	50	485	195	10	10	10
# contigs (>= 1000 bp)	163	46	26	46	160	163	10	10	10
# contigs (>= 5000 bp)	92	36	20	34	90	92	10	10	10
# contigs (>= 10000 bp)	67	27	16	27	65	67	8	8	8
# contigs (>= 25000 bp)	34	20	11	20	33	34	5	5	5
# contigs (>= 50000 bp)	17	16	10	17	17	17	2	2	2
Total length (>= 0 bp)	2975893	3101302	3124308	3084184	2976139	2926748	3162825	3162825	3162984
Total length (>= 1000 bp)	2905560	3075336	3101227	3081236	2905806	2905516	3162825	3162825	3162984
Total length (>= 5000 bp)	2728114	3047294	3082527	3047344	2728260	2728065	3162825	3162825	3162984
Total length (>= 10000 bp)	2544168	2984487	3053535	2999107	2544314	2544119	3149049	3149049	3149194
Total length (>= 25000 bp)	2008843	2866708	2979125	2890316	2022505	2008847	3100952	3100952	3101079
Total length (>= 50000 bp)	1402640	2724412	2945478	2784083	1428607	1402641	3006416	3006416	3006523
# contigs	195	53	29	50	192	195	10	10	10
Largest contig	114283	458911	711410	458915	114283	114283	2775639	2775639	2775725
Total length	2926792	3080395	3103401	3084184	2927038	2926748	3162825	3162825	3162984
GC (%)	37.65	37.64	37.64	37.64	37.65	37.65	37.77	37.77	37.77
N50	49767	162629	485854	162630	49813	49767	2775639	2775639	2775725
N75	19664	102479	200255	102479	19960	19664	2775639	2775639	2775725
L50	19	6	3	6	18	19	1	1	1
L75	43	11	6	11	41	43	1	1	1
# N's per 100 kbp	0.00	0.00	620.06	0.84	9.91	0.00	0.00	0.00	0.00
